POI Name,Latitude,Longitude
Unknown,40.9692207,29.1238714
Unknown,40.9689352,29.1237614
Unknown,40.9690729,29.1276023
Unknown,40.9692005,29.1286792
Unknown,40.9668005,29.1259179
Unknown,40.9682068,29.1271765
Unknown,40.9678443,29.1286758
Unknown,40.96766,29.1292767
Unknown,40.9675203,29.1302771
Unknown,40.9676665,29.1312481
Unknown,40.9681481,29.1313875
Unknown,40.9660073,29.1236762
Unknown,40.9661441,29.1241455
Unknown,40.9665329,29.1249435
Unknown,40.9658291,29.1242918
Unknown,40.9653906,29.1238116
Unknown,40.9651242,29.1243561
Unknown,40.9654286,29.1249614
Unknown,40.9661785,29.1254719
Unknown,40.9652489,29.1247437
Karınca Kebap,40.9498479,29.1110234
Reis Kafe,40.9376217,29.2132681
Nergiz Kace,40.9358082,29.2147638
Köfteci Nuri,40.9348142,29.2153954
Muhabbet Cafe,40.9120114,29.1725573
Yaprak Döner,40.9103381,29.1820294
Mado,40.91167,29.180369
Cafe 1453,40.9123506,29.1788465
Starbucks,40.9116314,29.1806027
Kuşhane Restaurant Cafe,40.9115651,29.1808219
Faruk Güllüoğlu,40.9124206,29.1787769
Teos Balık,40.9202385,29.1292655
Cafe Gencay,40.9201857,29.1293736
Bist,40.9198546,29.1291777
Erzurum Sofrası,40.9198302,29.1296788
Maltepe Derneği Restaurant,40.9199695,29.1295771
Ünlüer Gurme,40.9157649,29.1330029
Ayışığı,40.9160795,29.1327765
Starbucks,40.9384105,29.1350383
Közde Eminönü Kahvecisi,40.9227486,29.1295915
Küçükyalı Mesleki ve Teknik Anadolu Lisesi (KMTAL),40.9500205,29.130004
Unknown,40.9488737,29.1163872
Chef Point Cafe,40.9586046,29.1014266
Pate Manti,40.9583262,29.1013501
Tatlises Cig Köfte,40.9570535,29.1040878
Adana Öz Asmalı Kebap,40.9536518,29.0949005
Orj Bafra Pide,40.9227827,29.1577035
Unknown,40.9232449,29.1307589
Dervish Barbeque,40.9796811,29.1653819
Karabiber Ev Yemekleri & Mantı,40.9239324,29.1300152
Mert İşkembe,40.9781635,29.1225504
Altındal İşkembe,40.9783407,29.1208776
Kahve Time,40.9102829,29.2111588
İstek Börek,40.9134073,29.2095813
Değirmen Kafe,40.9131693,29.2093743
Hayden,40.9141233,29.2082211
Aşana,40.9571362,29.1815301
Ekmekçi Fırın,40.9347774,29.122714
Arsemia Çiğ Köfte,40.9352449,29.123874
ANTEBİM,40.9335289,29.1266084
Maltepe Rizeliler Derneği,40.9371069,29.1221655
SORYE,40.9370592,29.1221113
Hatay Kral Künefe,40.9367985,29.1219732
Bülent Börek,40.9367172,29.1220466
Antebim,40.9712545,29.1358442
Sarıyer Balık Evi,40.9714701,29.1359449
Reyvan Gurme,40.9714552,29.1353491
Parga Balık,40.9253452,29.1254041
Sarıyer Börekçisi,40.9376211,29.1205765
Ekmekçi,40.9376352,29.1204436
O.M Coffe,40.9375167,29.1203433
Mahalle,40.9376781,29.1201679
Ada Manolya Pastanesi,40.9348848,29.12417
HOOKAH,40.9333884,29.1267978
Suadye Marmaris Büfe,40.9315549,29.1285817
Közde Eminönü Kahvecisi,40.9294567,29.1289794
Yedigül Börek Pide,40.9714807,29.1336435
01 Adana Kebapçısı,40.9714506,29.1332267
Safranbolu,40.9362506,29.1231354
Bemol,40.9369488,29.1217406
Boşnak Börekçi,40.9783578,29.1207015
Clapton Bitter & Sweet,40.9763677,29.1319017
Pizza Hut,40.9783068,29.1214619
Osmanlı Lahmacun Pide,40.9783519,29.1207913
Mother’s Academy,40.9625622,29.1120881
Salon Beyzade Düğün Salonu,40.908194,29.2137988
Avşar Cafe,40.9160344,29.1305928
Bostancı Fasıl,40.9543327,29.0953819
Köfteci Yusuf,40.9572563,29.0971983
Burcu Cafe,40.9220973,29.1279101
No: 13 Cafe,40.9223611,29.1276398
Restoran,40.9547804,29.1672447
Dora Sağlık Meslek Lisesi,40.9101164,29.1549738
Hatay Gurme,40.9793573,29.1074123
Unknown,40.9365259,29.1348679
Uğur Okulları,40.914763,29.150294
Lokumla Istanbul,40.9547419,29.0955677
CoffeeBoss Istanbul,40.9155983,29.1528069
Tel Dolap Kafe,40.9759771,29.1211247
Kahve Diyarı,40.9206905,29.1370598
Miss Balık Restaurant,40.92928,29.1346667
Köfteci,40.9725928,29.1090331
Uludağ Kebapçısı,40.9792666,29.107694
Final Anadolu Lisesi,40.9795896,29.1056871
Dumlupınar Ortaokulu,40.9336637,29.123979
Tev Abdullah Nezehat Erboz İlköğretim Okulu,40.933508,29.1201964
Hayden Gold,40.918427,29.2144953
Starbucks,40.9195831,29.1636202
Cookshop,40.918611,29.1647283
Starbucks,40.9312518,29.2142339
Mado,40.9313593,29.2139848
Kadife,40.9165256,29.1987241
Titiz İskender Kebap,40.9158284,29.200952
Peron,40.9152774,29.2018545
Traingar,40.9533866,29.0950789
Kabasakal,40.9533071,29.0952493
Kalyoncu Yemek Diyarı,40.9795564,29.1172004
The Mqss,40.9810209,29.1188537
Orkoz,40.9528168,29.0961593
Mugab Gaziantep Baklavacısı,40.9277647,29.1296969
Öz Gaziantep Kebapçısı,40.9123939,29.1539551
Sultan Cafe & Restaurant,40.9508106,29.1035003
Tesadüf Cafe,40.9111871,29.1340989
İnci Balık,40.9349543,29.1249091
Damak Dürüm,40.9436497,29.1134499
Şölen Çorba,40.9169846,29.1443946
Sarıyer Börekçisi,40.9153447,29.1502702
Gaziantep Baklavacısı,40.9379346,29.1206801
Bülent Börekçilik,40.9278052,29.1296712
Köfteci Yusuf,40.969579,29.1014947
Haydenn Sürmene Pidecisi,40.941908,29.114783
Das Cafe,40.9374405,29.1210164
Hacıoğlu,40.9442225,29.1124114
Kahve Diyarı,40.9523769,29.1009747
Pizza Hut,40.9415143,29.1152175
Çorba İstanbul Et Mangal,40.9796076,29.1052173
Nokta Balık,40.9789158,29.1081378
Özlem Taşfırın,40.980097,29.1140474
Âlâ,40.9791421,29.1123292
Ma Bella Kafe,40.9793287,29.1095521
Küçükbakkalköy Pidecisi,40.9794071,29.1130721
Dağlayan Börek & Pide,40.9800171,29.1131903
Öz Lezzet Meşhur Börek & Pide,40.9802711,29.1137321
Cafe Mute,40.9793034,29.1093238
Dedecan Ocakbaşı,40.9791943,29.1054298
Mert Yemek,40.9789358,29.1067343
Arat Mersin Tantuni,40.9800456,29.1142782
Jumbo Künefe,40.9796873,29.1050657
Hamido Baklava ve Fıstık,40.9623384,29.096674
Çamlık,40.9470713,29.1021628
Köfteci Yıldırım Abi,40.9800344,29.1143568
Cadde Kebap,40.9795413,29.1157321
Kahve Vadisi,40.9794067,29.1162459
Kebap Hocası,40.9481407,29.1061593
Coffee Boo,40.9490626,29.1044962
Çikolatapare,40.9503565,29.1037597
Köyce,40.9530285,29.1008477
Gaziantep Künefe Dünyası,40.9694633,29.1111569
Ali Usta Meşhur Trakya Köftecisi,40.9704244,29.1111889
Değirmen,40.9666935,29.1063478
Lezzet Sarıyer Börek & Pide Salonu,40.9678569,29.1076591
Otantik Sarıyer Börekçisi,40.9695135,29.1094457
Kaçkar Yöresel Lezzetler,40.9694943,29.1107305
De La Pau,40.9810035,29.1134275
Pilavcımm,40.979357,29.1128597
Seviye Kurs,40.9796702,29.1141919
Loft Ataşehir Cafe & Bilardo,40.9787288,29.1139305
Sembol Kıraathanesi,40.9809255,29.1136591
Akça Börek Pide Salonu,40.9790432,29.1136576
Uğur Kurs,40.9792274,29.1139358
Suna Pasta & Cafe,40.9760853,29.0964205
Arı Pide & Börek,40.9765854,29.0969015
Kuzen Cafe Restaurant,40.9756434,29.0961187
Khaldi,40.9766543,29.0969609
Kozzbeer,40.9759829,29.096333
Burak Balıkçılık,40.9796435,29.1155596
Tevafuk Tarihi Beyazıt Kahvecisi,40.9791044,29.1158241
Karadeniz Kıraathanesi,40.9791272,29.115241
Ahşap Büfe & Çay Evi,40.9797188,29.1150676
RY Cafe Nargile,40.9790937,29.1147654
Küçükbakkalköy Bayan Kur'an Kursu,40.9793257,29.1145682
Çakıl Türk Mutfağı,40.9792837,29.1145443
Eat Fit,40.9794258,29.1138191
Umut Kıraathanesi,40.979706,29.1134804
Bahçeli Cafe,40.979941,29.1136094
Yarenler Kıraathanesi,40.9798768,29.113579
Üçler Kıraathanesi,40.9797542,29.1135052
Moda Cağ Kebap,40.9794801,29.1130744
Köfteci Şükrü,40.9536504,29.0948181
Adadan Balık,40.9530478,29.0948716
Evim Ocakbaşı,40.9531621,29.0950143
Mado,40.9454062,29.1118207
Saral,40.9440976,29.1130239
Köyüm Börek Baklava & Cafe,40.9465189,29.1093477
Jumbo Künefe,40.9379055,29.1210258
Üstat Köfte,40.9422887,29.1149724
Sulhi Kaptan Balık,40.9783232,29.1213046
Hot Pot King,40.9783474,29.121389
Ülker Abla Ev Yemekleri,40.9786583,29.1197028
Ataşehir Yemek Sermin'in Mutfağı,40.9788015,29.1188135
Zürafa Coffee,40.978183,29.1224216
Köfteci Yusuf,40.9785667,29.1243293
Final Kurs,40.9792992,29.1171013
Şölen Çorba,40.9786017,29.1266548
Ciğerci Bahattin,40.9788665,29.1276137
Twins Cafe,40.9791598,29.124544
Lazutti,40.97055,29.1007725
Özlem Kebap,40.9710942,29.1117614
Mutabık,40.980345,29.103103
Lions Özel Eğitim Meslek Okulu,40.9802354,29.1245705
Nebioğlu Döner,40.9779348,29.1220781
Adalı Kuzu Kokoreç,40.9778658,29.1236084
Taner Börek,40.9779283,29.123849
Ehli Sac Ekmeği,40.9796922,29.1178433
Özel Aybilim Hizmet İçi Eğitim Merkezi,40.9783695,29.1210727
Konak Konya Etli Ekmek,40.9787697,29.1197749
Kervan Pide & Börek Salonu,40.9805042,29.1124467
Parga Balık,40.9250243,29.1252544
Otantik Gusto,40.9268581,29.1236385
Bizim Bahçe Gurme,40.9242777,29.1255847
Cadıköy,40.9224767,29.129617
Wagon Lounge,40.9254497,29.124876
Ramiz +Plus,40.9272541,29.1230646
Green Location,40.9265506,29.1234653
Masal Garden,40.9249872,29.1249343
Gönül Kahvesi,40.9273206,29.1230154
Chocolabs,40.9271234,29.1232124
Ottimo,40.9273814,29.1229587
Kaplan Kebap,40.9506051,29.1167356
HSB Sarıyer Börekçisi,40.9507953,29.1168313
Paçacı Hikmet,40.9802722,29.103364
Bizim Mutfak,40.979738,29.1062747
Özel Avicenna Hastanesi Kafeteryası,40.979594,29.1091482
Cocina Ev Yemekleri & Catering,40.9798801,29.1059591
Neşeli Mutfak,40.979841,29.1059534
Bizim Pilavcı,40.9691726,29.1109626
No.10,40.9465038,29.1087421
Ataşehir Pilavhame,40.9807217,29.1124102
Park Kıraathanesi,40.9808594,29.1116753
Ataşehir Kuru Fasulye & Ev Yemekleri,40.9808911,29.1116204
Sevgi'nin Mutfağı Ev Yemekleri,40.9811282,29.1112511
Nisan Cafe & Mutfak,40.9798727,29.1079876
240 Derece,40.9802855,29.1098374
Bozoğlu Çorba,40.9798076,29.1045258
Ataşehir Özel Refika Güzellik Kursu,40.9802413,29.10548
Benjamin,40.9796926,29.1082195
Beyaz Lotus Akademi,40.980469,29.1107378
Beyaz Ev Yemekleri,40.980504,29.1044239
Noah handmade burgers,40.9373489,29.1199069
Kiri Patisserie,40.9753024,29.1216146
Çorbacı Ali Usta,40.9774822,29.124456
Ekleristan,40.979651,29.1128493
Bahane,40.9217413,29.1280672
Goodforyou Focaccia,40.9217883,29.1285144
Rakım,40.9217745,29.1286612
Gaziantepli Cumali Usta,40.9212408,29.1284466
Deli Gönül,40.9219762,29.1287077
Muhteşem Börek,40.9238998,29.1306909
Hayyam Cafe,40.9216712,29.1285709
Tutku Cafe,40.9219732,29.127966
Grand Restaurant & Bar,40.9214689,29.1282726
Beyrut Sanat Cafe,40.9213267,29.1283824
Meşk-i Çeşme,40.922009,29.129179
Cook Tatlım,40.9218847,29.1287095
Vitamin Balık Izgara,40.9239616,29.1306516
Hayal Bahçesi,40.9232478,29.1300436
Menderes Usta,40.9219868,29.12875
Maziden,40.9541017,29.0950926
Ekleristan,40.9536687,29.0958346
Maltepe Merkez Camii Çay Ocağı,40.9250725,29.1302566
Fırın Safranbolu,40.9244632,29.1332436
Marin Fırın & Cafe,40.9258913,29.1366726
Setbaşı Fırını,40.9252898,29.1360857
Dürümcü Hacı Usta,40.9244201,29.1344664
UK Coffee Lounge,40.9262907,29.1374646
Liberty,40.9269381,29.1247753
White wagon,40.9270073,29.1246575
Bafra Pide,40.9752534,29.0959801
Ovalımm Fırın & Cafe,40.9749555,29.095831
Hacıbaşar,40.9751038,29.0948784
Yeşil Teras Cafe,40.9672457,29.1398876
Midyeci Yasin Maltepe,40.9269603,29.1234651
Aydilimi,40.9789977,29.1063636
Unknown,40.9704651,29.1136897
Tekno Kafe,40.9594611,29.1357276
İsot Lahmacun & Kebap,40.9786123,29.1132684
Tellioğlu Trabzon Pidecisi 1985,40.9706891,29.1003635
Valibey Kebap & Künefe,40.9708019,29.0992371
Dönerci Cemal,40.978216,29.1185785
Unknown,40.9438937,29.1537714
Happy Moon's,40.9794516,29.098922
Cook Shop,40.9793482,29.0992438
İstasyon Börek,40.921112,29.1336512
Saklıbahçe,40.9783165,29.1139876
Cadde Köy,40.9782048,29.1142149
Kafe Kozna,40.9746754,29.0986309
Lezzet Sarıyer Börekçisi,40.9774099,29.1248712
Beyoğlu Çorbacısı,40.9777666,29.1253912
Taner Börek,40.9719975,29.097155
Bizim Balıkçı,40.9787584,29.1127376
Tadı Bafra,40.9273644,29.1292723
Penguen Coffee Roastery,40.9792991,29.1253993
The Coff's,40.9550994,29.0985072
di'Verso Coffee,40.9546375,29.0979797
Noxus Chocolate & Coffee,40.954379,29.0976778
UwUcado Coffee,40.9544742,29.0977873
Golden Spoon,40.9667449,29.1058219
Magnolia Shop,40.9798445,29.0984782
Cadde Gözleme Cafe,40.980266,29.1185234
İstanbul Cafe,40.9799011,29.1180996
Nurcan Hanım Ev Tatlıları,40.9269264,29.1386818
Sarıyer Börekçisi,40.9280485,29.1419407
Bu Fırın Pasta & Cafe,40.928991,29.1418677
Boss Garden,40.9335221,29.139616
Fırıncı,40.9253327,29.1316893
Dilara Pasta & Cafe,40.9270874,29.139284
Çeltik Kebap Lahmacun,40.9234941,29.1331844
Marmaray Fırın Pasta Cafe,40.9218243,29.1341829
Nato Kıraathanesi,40.9226243,29.1304806
Whats'Up Cafe & Restoran,40.9249726,29.1298142
BİA Cafe & Restoran,40.9243205,29.1297107
Keyf_i Teras Cafe,40.9235145,29.1301921
Motto Cafe,40.9262135,29.1373515
Konya Tadım,40.926605,29.1386886
Olimbera Kafe,40.932201,29.1398675
Cemal Süreyya Kafe,40.9336144,29.130383
Ejder Pastanesi,40.9255606,29.1389608
Kahve Durağı,40.9242127,29.1262304
Tarihi Maltepe Çorbacısı,40.9224759,29.1274933
Tatlıbak,40.9611636,29.2154806
Natur'el Bahçe,40.9688953,29.1007571
